Protein_IDs,log2FC,AveExpr,t,P,adj.P,B,Majority,Protein,Gene,direction,tier2
P23193;Q15560,-0.28902672614111324,19.89695530265268,-1.6816089075128304,0.09805209353641874,0.4710124460935967,-4.690049224846031,P23193,Transcription elongation factor A protein 1,TCEA1,n.s.,n.s.
Q9ULZ3,-0.538105225392826,21.459580560520394,-1.6806405740391763,0.0982505764437777,0.4710124460935967,-4.691548610318492,Q9ULZ3,Apoptosis-associated speck-like protein containing a CARD,PYCARD,n.s.,n.s.
P21860,-0.3775869092580528,21.254129519676894,-1.679603554312285,0.0984533609765763,0.4710124460935967,-4.693133905442421,P21860,Receptor tyrosine-protein kinase erbB-3,ERBB3,n.s.,n.s.
P13693,0.39679429610767514,21.076989620873814,1.6794096050953207,0.09849132491669178,0.4710124460935967,-4.693430298344866,P13693,Translationally-controlled tumor protein,TPT1,n.s.,n.s.
P18206,0.2822754538336838,25.275274945798845,1.6779590697957458,0.09877563558286133,0.4710124460935967,-4.695646026509754,P18206,Vinculin,VCL,n.s.,n.s.
P57088,0.24730551359918707,20.48199210162906,1.677729799921737,0.09880913114366026,0.4710124460935967,-4.695974210276673,P57088,Transmembrane protein 33,TMEM33,n.s.,n.s.
Q9UKM9,0.24448346469514703,23.19915877348469,1.674552438764321,0.0994353843267302,0.47240177537042527,-4.700823100651229,Q9UKM9,RNA-binding protein Raly,RALY,n.s.,n.s.
Q96AE4,-0.29294947084783374,20.91740195041119,-1.671613032490905,0.10001794444904309,0.4726148445942059,-4.705302029879993,Q96AE4,Far upstream element-binding protein 1,FUBP1,n.s.,n.s.
Q99442,0.2826723757988745,20.604477408936752,1.6702422122222402,0.10028893927691859,0.4726148445942059,-4.707385375848311,Q99442,Translocation protein SEC62,SEC62,n.s.,n.s.
P34913,-0.3399939119123445,20.666709972884476,-1.6693089404542896,0.1004850838967128,0.4726148445942059,-4.708823476669227,P34913,Epoxide hydrolase 2,EPHX2,n.s.,n.s.
O75915,-0.421377839362183,22.977606645653104,-1.6670802727920244,0.10092941478181008,0.473127588894133,-4.712208637313626,O75915,PRA1 family protein 3,ARL6IP5,n.s.,n.s.
A0MZ66,-0.41977328144653114,21.468508416121413,-1.664685961015186,0.10140855880567315,0.4737995909761749,-4.715840850772336,A0MZ66,Shootin-1,KIAA1598,n.s.,n.s.
Q13422,-0.6479148129664054,22.682720531920836,-1.6577582745605193,0.10280538935776808,0.4787406085274283,-4.7263237276145675,Q13422,DNA-binding protein Ikaros,IKZF1,n.s.,n.s.
Q5JPE7;P69849;Q15155,0.22970810322258473,22.225107884459902,1.6457458829528022,0.10525308846395656,0.485691080821805,-4.744388432874034,Q5JPE7;P69849;Q15155,Nodal modulator 2;Nodal modulator 3;Nodal modulator 1,NOMO2;NOMO3;NOMO1,n.s.,n.s.
Q03518,0.5252947754004644,20.55808108146918,1.6447696471290145,0.10546659423052178,0.485691080821805,-4.745871453920273,Q03518,Antigen peptide transporter 1,TAP1,n.s.,n.s.
O75298,-0.3392206592468092,20.72773936644546,-1.643070619039919,0.10581881577039717,0.485691080821805,-4.748418185199404,O75298,Reticulon-2,RTN2,n.s.,n.s.
Q96A49,0.3769078170612268,21.274915635077583,1.6425062024268058,0.10593603530318825,0.485691080821805,-4.749263681525334,Q96A49,Synapse-associated protein 1,SYAP1,n.s.,n.s.
Q8TB61,-0.278520188829642,20.056277290358143,-1.6419891593513392,0.1060349961355161,0.485691080821805,-4.750024533499963,Q8TB61,Adenosine 3-phospho 5-phosphosulfate transporter 1,SLC35B2,n.s.,n.s.
P60228,-0.2053354911622769,21.811937378347285,-1.6403979737653198,0.1063632487412741,0.485691080821805,-4.752401372286763,P60228,Eukaryotic translation initiation factor 3 subunit E,EIF3E,n.s.,n.s.
P27105,-0.7397628545454538,22.149606035144476,-1.6382587657336012,0.10682154775788162,0.4862103351173257,-4.7556179087174435,P27105,Erythrocyte band 7 integral membrane protein,STOM,n.s.,n.s.
P61160,0.24571178054916132,22.922804683223838,1.6278666795486934,0.1090023325513657,0.49454112935683925,-4.771085456756363,P61160,Actin-related protein 2,ACTR2,n.s.,n.s.
P21333,0.4347117814883994,27.257041248673602,1.626047379861152,0.10940096610848231,0.4947588563431684,-4.773803288780565,P21333,Filamin-A,FLNA,n.s.,n.s.
Q9P1F3,0.486434301042312,20.530155190363658,1.6215751055516117,0.1103581992011035,0.4974933516701503,-4.780432604010467,Q9P1F3,Costars family protein ABRACL,ABRACL,n.s.,n.s.
Q9UJZ1,-0.35905388599630683,22.95167206502004,-1.6148046623591765,0.1118202333301567,0.5001946018850624,-4.790436998045171,Q9UJZ1,Stomatin-like protein 2,STOML2,n.s.,n.s.
P50552,0.24494959506727554,20.1764570161508,1.6136144731213309,0.11206726826289098,0.5001946018850624,-4.792176152163019,P50552,Vasodilator-stimulated phosphoprotein,VASP,n.s.,n.s.
Q9BS26,0.30815085400403674,22.443775350283737,1.608088720092083,0.1132859501002857,0.5001946018850624,-4.800323301437267,Q9BS26,Endoplasmic reticulum resident protein 44,ERP44,n.s.,n.s.
P23284,0.2427823133893945,23.647353986411602,1.6074449143119671,0.11342726927187873,0.5001946018850624,-4.801269058995251,P23284,Peptidyl-prolyl cis-trans isomerase B,PPIB,n.s.,n.s.
Q9P2E9;Q8N4C6,0.33838147289566933,24.49621447740785,1.6069586228525208,0.11353410756362889,0.5001946018850624,-4.801983198163603,Q9P2E9,Ribosome-binding protein 1,RRBP1,n.s.,n.s.
